Date,Open,High,Low,Close,Adj Close,Volume
,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,,ICICIBANK.NS
2015-07-31,251.8979873182527,264.25975592539106,251.59857228591918,258.6990966796875,,38967790
2015-08-03,260.4528959063337,268.62279792895197,260.23900337642203,267.6817626953125,,28709585
2015-08-04,268.1949793185954,269.69208308980325,262.67708174134043,268.6654968261719,,16797983
2015-08-05,269.2643387960563,273.58454780443293,264.3452997398671,266.3556823730469,,13798462
2015-08-06,267.55337392593196,267.63892517908255,263.019301099505,266.09906005859375,,12210084
2015-08-07,265.11523958445247,267.3822760368133,263.87478946951506,265.3291320800781,,6215341
2015-08-10,265.200757800741,268.6227214052196,262.76261914286414,264.85858154296875,,7698226
2015-08-11,265.1152255094241,265.1152255094241,257.28753023049217,258.5707702636719,,10431195
2015-08-12,256.64589223118656,256.774233456378,248.17657752909446,249.50257873535156,,10292540
2015-08-13,252.5823735320198,255.53379136237223,248.8182331254893,249.7165069580078,,13754705
2015-08-14,251.72686442104157,259.89676447759143,249.84479440667866,258.87017822265625,,9669851
2015-08-17,258.3141085629399,260.6666960726206,253.95113853338998,259.1268310546875,,8331141
2015-08-18,259.2124203195475,260.23897800332355,254.67831841198822,257.58697509765625,,5936462
2015-08-19,257.54418781028295,261.26553801286224,257.0736702868688,260.49560546875,,8754270
2015-08-20,256.8598614208674,262.42052163906095,253.0957204289754,255.14886474609375,,15936951
2015-08-21,251.29911529630624,254.84939166520738,246.8933838618696,253.65170288085938,,13769807
2015-08-24,241.5893533973949,243.68531597951352,228.84261899243725,230.9385528564453,,33312582
2015-08-25,236.58477003012268,243.30032807471875,228.5431962683299,242.5303955078125,,26553623
2015-08-26,239.49341160262767,241.4610328834347,235.85759841099582,237.86798095703125,,16189880
2015-08-27,241.8887661469591,243.38586995522473,239.70728105203534,241.63214111328125,,27884874
2015-08-28,243.85642179557394,247.49224994423844,240.9477650202652,242.70152282714844,,14365759
2015-08-31,242.0171030210369,243.25755305516284,236.4136541575693,237.7396697998047,,15079961
